wavelength_nm,sigma_sca_m2,sigma_abs_m2
6.577154308617234619e+02,8.928236741115090445e-14,3.149759768224976988e-14
6.611222444889779126e+02,8.475646543453229985e-14,2.942506021242901484e-14
6.645290581162324770e+02,8.049667320020874242e-14,2.745261150713052548e-14
6.679358717434870414e+02,7.651026927650193439e-14,2.559336164079504431e-14
6.713426853707414921e+02,7.279479865346713572e-14,2.385377976763659176e-14
6.747494989979959428e+02,6.934104883618523742e-14,2.223532542259114064e-14
6.781563126252505072e+02,6.613546450867460680e-14,2.073586254613431690e-14
6.815631262525050715e+02,6.316200418741855649e-14,1.935081486515588689e-14
6.849699398797595222e+02,6.040350231743880279e-14,1.807406749854644047e-14
6.883767535070139729e+02,5.784262391625658724e-14,1.689864369287233932e-14
6.917835671342685373e+02,5.546250071979859644e-14,1.581719484146026601e-14
6.951903807615231017e+02,5.324712848477140920e-14,1.482234247095769895e-14
6.985971943887775524e+02,5.118159147933026972e-14,1.390690697334562453e-14
7.020040080160320031e+02,4.927894957601090934e-14,1.309892181738975938e-14
7.054108216432865675e+02,4.751404947909401607e-14,1.237626984273539045e-14
7.088176352705411318e+02,4.585626488330039532e-14,1.170788355968787199e-14
7.122244488977955825e+02,4.429606452920384821e-14,1.108898617306062201e-14
7.156312625250500332e+02,4.282487987310661100e-14,1.051520513909507322e-14
7.190380761523045976e+02,4.143502163164450978e-14,9.982554353772454014e-15
7.224448897795591620e+02,4.011959648702328584e-14,9.487410856482565384e-15
7.258517034068136127e+02,3.887242700697406781e-14,9.026488733725998220e-15
7.292585170340680634e+02,3.768797655772185779e-14,8.596812052641733243e-15
7.326653306613226277e+02,3.656128012082499777e-14,8.195688036184984273e-15
7.360721442885771921e+02,3.548788134919153123e-14,7.820681250962142564e-15
7.394789579158316428e+02,3.446377582765726855e-14,7.469589268635387473e-15
7.428857715430860935e+02,3.348536027635158794e-14,7.140420047095786651e-15
7.462925851703406579e+02,3.254938730547396642e-14,6.831371131772217246e-15
7.496993987975952223e+02,3.165292526594454956e-14,6.540810680864292332e-15
7.531062124248496730e+02,3.077141410578624313e-14,6.278774448255064973e-15
7.565130260521041237e+02,2.992427122948732520e-14,6.033410908723789694e-15
7.599198396793586880e+02,2.911130128609176782e-14,5.802349942722950745e-15
7.633266533066132524e+02,2.833031515243625107e-14,5.584458788600013531e-15
