xy_axis1_nm,xy_axis2_nm,|E/E0|^2
4.593750000000000000e+01,-1.312500000000000000e+02,4.984125279576130385e-01
4.757812500000000000e+01,-1.312500000000000000e+02,5.107607052009653925e-01
4.921875000000000000e+01,-1.312500000000000000e+02,5.229910911070577706e-01
5.085937500000000000e+01,-1.312500000000000000e+02,5.350738951309716995e-01
5.250000000000000000e+01,-1.312500000000000000e+02,5.469813479948670842e-01
5.414062500000000000e+01,-1.312500000000000000e+02,5.586877445951332621e-01
5.578125000000000000e+01,-1.312500000000000000e+02,5.701694690046547054e-01
5.742187500000000000e+01,-1.312500000000000000e+02,5.814050026765967827e-01
5.906250000000000000e+01,-1.312500000000000000e+02,5.923749170580793200e-01
6.070312500000000000e+01,-1.312500000000000000e+02,6.030618518974614206e-01
6.234375000000000000e+01,-1.312500000000000000e+02,6.134504805791093363e-01
6.398437500000000000e+01,-1.312500000000000000e+02,6.235274638463248476e-01
6.562500000000000000e+01,-1.312500000000000000e+02,6.332813932786025557e-01
6.726562500000000000e+01,-1.312500000000000000e+02,6.427027258758288841e-01
6.890625000000000000e+01,-1.312500000000000000e+02,6.517837110717298321e-01
7.054687500000000000e+01,-1.312500000000000000e+02,6.605183114542055867e-01
7.218750000000000000e+01,-1.312500000000000000e+02,6.689021184135323095e-01
7.382812500000000000e+01,-1.312500000000000000e+02,6.769322638729750041e-01
7.546875000000000000e+01,-1.312500000000000000e+02,6.846073291823927542e-01
7.710937500000000000e+01,-1.312500000000000000e+02,6.919272521758970118e-01
7.875000000000000000e+01,-1.312500000000000000e+02,6.988932333114272755e-01
8.039062500000000000e+01,-1.312500000000000000e+02,7.055076417249539489e-01
8.203125000000000000e+01,-1.312500000000000000e+02,7.117739219463469214e-01
8.367187500000000000e+01,-1.312500000000000000e+02,7.176965019391333689e-01
8.531250000000000000e+01,-1.312500000000000000e+02,7.232807030434588169e-01
8.695312500000000000e+01,-1.312500000000000000e+02,7.285326523215571726e-01
8.859375000000000000e+01,-1.312500000000000000e+02,7.334591977286282205e-01
9.023437500000000000e+01,-1.312500000000000000e+02,7.380678264598539151e-01
9.187500000000000000e+01,-1.312500000000000000e+02,7.423665867567567078e-01
9.351562500000000000e+01,-1.312500000000000000e+02,7.463640133935626197e-01
9.515625000000000000e+01,-1.312500000000000000e+02,7.500690570067948260e-01
9.679687500000000000e+01,-1.312500000000000000e+02,7.534910173791624644e-01
9.843750000000000000e+01,-1.312500000000000000e+02,7.566394807418077573e-01
1.000781250000000000e+02,-1.312500000000000000e+02,7.595242611170914815e-01
1.017187500000000000e+02,-1.312500000000000000e+02,7.621553456872020016e-01
1.033593750000000000e+02,-1.312500000000000000e+02,7.645428441416749488e-01
1.050000000000000000e+02,-1.312500000000000000e+02,7.666969419292580801e-01
1.066406250000000000e+02,-1.312500000000000000e+02,7.686278573160972849e-01
1.082812500000000000e+02,-1.312500000000000000e+02,7.703458021327134198e-01
1.099218750000000000e+02,-1.312500000000000000e+02,7.718609460763353747e-01
1.115625000000000000e+02,-1.312500000000000000e+02,7.731833844225717289e-01
1.132031250000000000e+02,-1.312500000000000000e+02,7.743231089908221287e-01
1.148437500000000000e+02,-1.312500000000000000e+02,7.752899822009259312e-01
1.164843750000000000e+02,-1.312500000000000000e+02,7.760937140540588031e-01
1.181250000000000000e+02,-1.312500000000000000e+02,7.767438418684897705e-01
1.197656250000000000e+02,-1.312500000000000000e+02,7.772497126002942958e-01
1.214062500000000000e+02,-1.312500000000000000e+02,7.776204675801448030e-01
1.230468750000000000e+02,-1.312500000000000000e+02,7.778650294997492276e-01
1.246875000000000000e+02,-1.312500000000000000e+02,7.779920914850324554e-01
1.263281250000000000e+02,-1.312500000000000000e+02,7.780101080976877803e-01
1.279687500000000000e+02,-1.312500000000000000e+02,7.779272881119787542e-01
1.296093750000000000e+02,-1.312500000000000000e+02,7.777515889195631971e-01
1.312500000000000000e+02,-1.312500000000000000e+02,7.774907124214497367e-01
-1.312500000000000000e+02,-1.296093750000000000e+02,7.866024441410774948e-01
-1.296093750000000000e+02,-1.296093750000000000e+02,7.871283086449526456e-01
-1.279687500000000000e+02,-1.296093750000000000e+02,7.875699401715131609e-01
-1.263281250000000000e+02,-1.296093750000000000e+02,7.879192744334400089e-01
-1.246875000000000000e+02,-1.296093750000000000e+02,7.881679629119351382e-01
-1.230468750000000000e+02,-1.296093750000000000e+02,7.883073757790663993e-01
-1.214062500000000000e+02,-1.296093750000000000e+02,7.883286063401948596e-01
-1.197656250000000000e+02,-1.296093750000000000e+02,7.882224771502202021e-01
-1.181250000000000000e+02,-1.296093750000000000e+02,7.879795479651939827e-01
-1.164843750000000000e+02,-1.296093750000000000e+02,7.875901256982729137e-01
-1.148437500000000000e+02,-1.296093750000000000e+02,7.870442765558591791e-01
-1.132031250000000000e+02,-1.296093750000000000e+02,7.863318405359320806e-01
-1.115625000000000000e+02,-1.296093750000000000e+02,7.854424484758654179e-01
-1.099218750000000000e+02,-1.296093750000000000e+02,7.843655418411158431e-01
-1.082812500000000000e+02,-1.296093750000000000e+02,7.830903954490188168e-01
-1.066406250000000000e+02,-1.296093750000000000e+02,7.816061433230242494e-01
-1.050000000000000000e+02,-1.296093750000000000e+02,7.799018078720603153e-01
-1.033593750000000000e+02,-1.296093750000000000e+02,7.779663325867016699e-01
-1.017187500000000000e+02,-1.296093750000000000e+02,7.757886184384431560e-01
-1.000781250000000000e+02,-1.296093750000000000e+02,7.733575641600242134e-01
-9.843750000000000000e+01,-1.296093750000000000e+02,7.706621105732340826e-01
-9.679687500000000000e+01,-1.296093750000000000e+02,7.676912891155227570e-01
-9.515625000000000000e+01,-1.296093750000000000e+02,7.644342746976453551e-01
-9.351562500000000000e+01,-1.296093750000000000e+02,7.608804430011781861e-01
-9.187500000000000000e+01,-1.296093750000000000e+02,7.570194322966409262e-01
-9.023437500000000000e+01,-1.296093750000000000e+02,7.528412098297826427e-01
-8.859375000000000000e+01,-1.296093750000000000e+02,7.483361427850967473e-01
-8.695312500000000000e+01,-1.296093750000000000e+02,7.434950737913907926e-01
-8.531250000000000000e+01,-1.296093750000000000e+02,7.383094008842001621e-01
-8.367187500000000000e+01,-1.296093750000000000e+02,7.327711617836365487e-01
-8.203125000000000000e+01,-1.296093750000000000e+02,7.268731222839670547e-01
-8.039062500000000000e+01,-1.296093750000000000e+02,7.206088684827424151e-01
